,name,address,price,city,Check_in_date,Check_out_date,Review,Rating,distance to city centre(km),distance to HYD-Rajiv Gandhi Intl(km),Pool,Free parking,Airport transfer,Spa,Restaurant,Gym,Bar,Bathtub,Meeting Facilities,Connecting rooms available,Pet-friendly,Kitchen,Internet access
0,The Park Hyderabad,22 RajBhavan Road Somajiguda Hyderabad Andhra Pradesh 500082 India,5040,Hyderabad,2021-12-02,2021-02-14,,,4.0,20 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
1,The Westin Hyderabad Mindspace,Raheja IT Park Hitec City Madhapur Hyderabad Telangana 500081 India,7800,Hyderabad,2021-12-02,2021-02-14,,,9.9,22 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
2,Courtyard by Marriott Hyderabad,1 3 1024 Lower Tank Bund Road Hyderabad Andhra Pradesh 500001 India,6700,Hyderabad,2021-12-02,2021-02-14,,,4.7,21 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
3,Courtyard by Marriott Hyderabad,1 3 1024 Lower Tank Bund Road Hyderabad Andhra Pradesh 500001 India,6700,Hyderabad,2021-12-02,2021-02-14,,,4.7,21 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
4,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,82409 Road No 6 Banjara Hills Hyderabad Andhra Pradesh 500034 India,6375,Hyderabad,2021-12-02,2021-02-14,Good,7.6,4.5,20 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
5,Taj Deccan,Rd Number 1 Balapur Basthi Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,8000,Hyderabad,2021-12-02,2021-02-14,,,3.8,19 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
6,Taj Deccan,Rd Number 1 Balapur Basthi Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,8000,Hyderabad,2021-12-02,2021-02-14,,,3.8,19 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
7,Hyderabad Marriott Hotel & Convention Centre,Opp Hussain Sagar Lake Tank Bund Rd Hyderabad Andhra Pradesh 500080 India,7200,Hyderabad,2021-12-02,2021-02-14,,,4.6,21 ,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
8,Best Western Ashoka,6170 Lakdikapul Hyderabad Andhra Pradesh 500004 India,5211,Hyderabad,2021-12-02,2021-02-14,,,1.7,18 ,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
9,Hyatt Place Hyderabad Banjara Hills,Banjara Hills Road 1 Hyderabad Telangana 500034 India,7330,Hyderabad,2021-12-02,2021-02-14,,,3.0,19 ,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
10,Trident Hyderabad,HITEC City Near Cyber Towers Hyderabad Andhra Pradesh 500 081 India,9000,Hyderabad,2021-12-02,2021-02-14,Exceptional,9.6,11 ,24 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
11,OYO 19460 Hotel Pearl City,155826 Raj Tower Afzalgunj Rd Ashok Bazar Gowliguda Hyderabad Telangana 500012 India,8789,Hyderabad,2021-12-02,2021-02-14,,,2.0,15 ,no,no,no,no,no,no,no,yes,no,no,no,no,no
12,Capital O 65104 Che Sigma Hotel,107/11 Beside Firdous Cafe Chinthalkunta ta Hyderabad Hyderabad Telangana 500074 India,2627,Hyderabad,2021-12-02,2021-02-14,,,11 ,16 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
13,OYO 61506 Sai Residency,Sai Residency Plot no 210 Kalyan nagar phase1 vengalarao nagar main road besid Hyderabad Telangana 500038 India,2951,Hyderabad,2021-12-02,2021-02-14,,,7.1,22 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
14,OYO 61506 Sai Residency,Sai Residency Plot no 210 Kalyan nagar phase1 vengalarao nagar main road besid Hyderabad Telangana 500038 India,2951,Hyderabad,2021-12-02,2021-02-14,,,7.1,22 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
15,"Vivanta Hyderabad, Begumpet",1 10 147 148 Mayuri Marg Hyderabad Andhra Pradesh 500016 India,7100,Hyderabad,2021-12-02,2021-02-14,,,6.1,22 ,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no
16,Marigold by Greenpark,7125 Greenlands Begumpet Hyderabad Andhra Pradesh 500016 India,7200,Hyderabad,2021-12-02,2021-02-14,,,5.5,21 ,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no
17,OYO 23543 Hotel Vaishnavi,14Near Khindsi Lake Tumsar Road Hyderabad 500003 India,4094,Hyderabad,2021-12-02,2021-02-14,,,6.5,22 ,no,yes,no,no,no,no,no,yes,no,no,no,no,no
18,OYO 63371 R Square Stay,R Square Stay Metro exit D Beside China Bazar Bahadurguda LB Nagar a Bazar Bahad Hyderabad Telangana 500074 India,5593,Hyderabad,2021-12-02,2021-02-14,,,9.9,16 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
19,OYO 17279 Royal Inn Hotel,539 100Ft Rd Mega Hills Hyderabad Telangana 500081 India,4095,Hyderabad,2021-12-02,2021-02-14,,,10 ,24 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
20,Le Meridien Hyderabad,Plot No 132 Miyapur Rd Gachibowli Hyderabad Telangana 500032 India,6000,Hyderabad,2021-12-02,2021-02-14,,,13 ,24 ,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
21,Lemon Tree Hotel Gachibowli Hyderabad,No 115/1Financial District Nanakramguda Serilingampally Gachibowli Hyderabad Andhra Pradesh 500032 India,3198,Hyderabad,2021-12-02,2021-02-14,,,15 ,23 ,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no
22,Deccan Comforts,No 5919/14 15 Old Secretariat Road Green Gates Saifabad Hyderabad Telangana 500022 India,1998,Hyderabad,2021-12-02,2021-02-14,,,2.2,18 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
23,OYO 65280 New Raghava Guest House,D/4 Sri Nagar Colony Krishna Nagar Hyderabad Telangana 500033 India,5069,Hyderabad,2021-12-02,2021-02-14,,,6.1,21 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
24,Taj Krishna,Rd Number 1 Mada Manzil Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,10500,Hyderabad,2021-12-02,2021-02-14,,,3.5,19 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
25,Taj Banjara,Road No 1 Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,7300,Hyderabad,2021-12-02,2021-02-14,,,2.9,18 ,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
26,Taj Banjara,Road No 1 Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,7300,Hyderabad,2021-12-02,2021-02-14,,,2.9,18 ,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
27,Aditya Park-A Sarovar Portico Hotel,Ameerpet Aditya Enclave Hyderabad Andhra Pradesh 500038 India,2925,Hyderabad,2021-12-02,2021-02-14,,,5.7,21 ,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no
28,OYO 70733 Hotel Regal,139 45139 NH 9 Sappu Bagh Apaprtment Jogani Ramgopalpet t Jogani Ramgopalpe Hyderabad Telangana 500003 India,3685,Hyderabad,2021-12-02,2021-02-14,,,6.4,23 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
29,Hotel Gaurishree,Hall no8chittod complex mpnagarzone1bhopal Hyderabad 462011 India,4282,Hyderabad,2021-12-02,2021-02-14,,,2.3,16 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
30,HOTEL THE CONCLAVE,Gowlidoddi Rd Hyderabad Telangana 500032 India,4000,Hyderabad,2021-12-02,2021-02-14,,,16 ,24 ,no,yes,no,no,yes,no,no,no,no,no,no,no,no
31,Welkin Hotel,17227 to 234 Near Paradise Circle SD Road Hyderabad Telangana 500003 India,3500,Hyderabad,2021-12-02,2021-02-14,,,6.4,23 ,no,yes,yes,no,no,no,no,no,no,no,no,no,no
32,HMC Hotel,Gosha Road MJ Market Hyderabad Telangana 500001 India,3998,Hyderabad,2021-12-02,2021-02-14,,,1.0,16 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
33,FabHotel Yesmark Gachibowli,Jayabheri Pinevally Plot # 18 Beside Gachibowli Police Commissioner Office Hyderabad Telangana 500032 India,3160,Hyderabad,2021-12-02,2021-02-14,,,11 ,22 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
34,Novotel Hyderabad Airport Hotel,Rajiv Gandhi International Airport Shamshabad RR District Hyderabad Andhra Pradesh 500409 India,10400,Hyderabad,2021-12-02,2021-02-14,,,16 ,1.5,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
35,OYO 63209 Hotel Ram Ratan Grand,529/5 ORR tollgatekishanguda Shamshabad bad Hyderabad Hyderabad Telangana 501218 India,6989,Hyderabad,2021-12-02,2021-02-14,,,18 ,6.7,no,yes,no,no,no,no,no,no,no,no,no,no,no
36,Cannychoice Inn,Hotel CannyChoice Inn Plot No 60 & 61 Green Hamlet Shilpa Park Rd Kondapur Hyderabad Telangana 500084 India,4000,Hyderabad,2021-12-02,2021-02-14,,,14 ,26 ,no,yes,no,no,yes,no,no,no,no,no,no,no,no
37,Cannychoice Inn,Hotel CannyChoice Inn Plot No 60 & 61 Green Hamlet Shilpa Park Rd Kondapur Hyderabad Telangana 500084 India,4000,Hyderabad,2021-12-02,2021-02-14,,,14 ,26 ,no,yes,no,no,yes,no,no,no,no,no,no,no,no
38,Capital O 47601 Airport Palace Hotel,2158/1/1 Fort grand road Ranga Reddy Hyderabad Hyderabad Telangana 501218 India,5027,Hyderabad,2021-12-02,2021-02-14,,,16 ,6.0,no,yes,no,no,no,no,no,no,no,no,no,yes,no
39,Golkonda Resorts & Spa,Gandipet Sagar Mahal Complex Hyderabad Andhra Pradesh 500075 India,16200,Hyderabad,2021-12-02,2021-02-14,,,16 ,21 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
40,OYO 4025 Hotel Meredian Orchid,11465015 Lakdi Ka pul Hyderabad Telangana 500004 India,6634,Hyderabad,2021-12-02,2021-02-14,,,1.6,18 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
41,"Red Fox Hotel, HITEC City, Hyderabad",Plot No 2 HITEC City Hyderabad Andhra Pradesh 500081 India,3838,Hyderabad,2021-12-02,2021-02-14,,,11 ,23 ,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
42,Hotel Lotus Grand,94147 to 153 opprailway station Gurudwaralane Rezimental Bazar Hyderabad Telangana 500003 India,4320,Hyderabad,2021-12-02,2021-02-14,,,7.0,23 ,no,yes,no,no,yes,no,no,no,no,no,no,no,no
43,Aditya Hometel,Adjacent To Satyam Theatre Balkampet Rd Ameerpet Hyderabad Andhra Pradesh 500001 India,3308,Hyderabad,2021-12-02,2021-02-14,,,5.8,21 ,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no
44,THE GRAND PLAZA A BOUTIQUE HOTEL,5988/A/1 Opp Assembly Metro Station Pillar #A1255 Hyderabad Telangana 500001 India,3800,Hyderabad,2021-12-02,2021-02-14,,,1.1,17 ,no,yes,no,no,no,no,no,no,no,no,yes,no,no
45,ibis Hyderabad Hitech City Hotel,Plot 3 Techno Enclave Hitech City Main Road Patrika Nagar Hyderabad Telangana 500081 India,3299,Hyderabad,2021-12-02,2021-02-14,,,11 ,24 ,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no
46,Courtyard by Marriott Hyderabad,1 3 1024 Lower Tank Bund Road Hyderabad Andhra Pradesh 500001 India,6700,Hyderabad,2021-12-02,2021-02-14,,,4.7,21 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
47,Best Western Ashoka,6170 Lakdikapul Hyderabad Andhra Pradesh 500004 India,5211,Hyderabad,2021-12-02,2021-02-14,,,1.7,18 ,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
48,Best Western Ashoka,6170 Lakdikapul Hyderabad Andhra Pradesh 500004 India,5211,Hyderabad,2021-12-02,2021-02-14,,,1.7,18 ,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
49,Mercure Hyderabad KCP Hotel,6 3 551 Banjara Hills Somajiguda Hyderabad 500082 India,6239,Hyderabad,2021-12-02,2021-02-14,,,3.4,19 ,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes
50,Hyatt Hyderabad Gachibowli,Road No 2 IT Park Gachibowli Hyderabad Andhra Pradesh 500019 India,5865,Hyderabad,2021-12-02,2021-02-14,,,14 ,22 ,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no
51,Lemon Tree Hotel Banjara Hills,63248/1/1/B Bhaskara Plaza Road No1 Banjara Hills Hyderabad Telangana 500034 India,5278,Hyderabad,2021-12-02,2021-02-14,,,3.1,19 ,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no
52,Novotel Hyderabad Convention Centre Hotel,Novotel & HICC Complex Adjacent to Hitec City Hyderabad Telangana 500081 India,6400,Hyderabad,2021-12-02,2021-02-14,,,14 ,26 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
53,Avasa Hotels,Plot No 15 24 25 & 26 Survey No64 Sector1 Huda Techno Enclave Hyderabad Andhra Pradesh 500081 India,8200,Hyderabad,2021-12-02,2021-02-14,,,11 ,24 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
54,OYO 33504 Hotel Ananda Inn,1415&16 Kukatpally Industrial EstateOpp RS Brothers Beside KPHB Bus Hyderabad Telangana 500072 India,5549,Hyderabad,2021-12-02,2021-02-14,,,14 ,28 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
55,Hill View,APBH Phase 4 Hyderabad Telangana 500032 India,4180,Hyderabad,2021-12-02,2021-02-14,,,13 ,24 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
56,Hotel Sri Mayuri,3354/5 to 9 kachiguda station road Hyderabad telangana 500027 India,4140,Hyderabad,2021-12-02,2021-02-14,,,2.9,17 ,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
57,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",6 3 1187 Begumpet Hyderabad Andhra Pradesh 500016 India,8000,Hyderabad,2021-12-02,2021-02-14,,,4.9,21 ,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
58,Restel Studio Flats,165/43/119 & 120 Cyber Hills Society Madhapur Hyderabad Telangana 500081 India,2430,Hyderabad,2021-12-02,2021-02-14,,,9.8,23 ,no,yes,no,no,no,no,no,no,no,no,no,yes,no
59,Restel Studio Flats,165/43/119 & 120 Cyber Hills Society Madhapur Hyderabad Telangana 500081 India,2430,Hyderabad,2021-12-02,2021-02-14,,,9.8,23 ,no,yes,no,no,no,no,no,no,no,no,no,yes,no
60,Hyderabad Marriott Hotel & Convention Centre,Opp Hussain Sagar Lake Tank Bund Rd Hyderabad Andhra Pradesh 500080 India,7200,Hyderabad,2021-12-02,2021-02-14,,,4.6,21 ,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
61,Prestige service apartment,Hyderabad Telangana India,7500,Hyderabad,2021-12-02,2021-02-14,,,11 ,23 ,no,yes,no,no,no,no,no,no,no,no,yes,no,yes
62,Daspalla Hyderabad,Road No 37 Jubilee Hills Hyderabad Andhra Pradesh 500033 India,8098,Hyderabad,2021-12-02,2021-02-14,,,8.4,22 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
63,The Golkonda Hyderabad,Banjara Hills Masab Tank Hyderabad Andhra Pradesh 500 028 India,6300,Hyderabad,2021-12-02,2021-02-14,,,2.1,18 ,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
64,The Manohar Hyderabad,Begumpet Airport Exit Road Begumpet Hyderabad Andhra Pradesh 500001 India,4897,Hyderabad,2021-12-02,2021-02-14,,,6.2,22 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
65,The Westin Hyderabad Mindspace,Raheja IT Park Hitec City Madhapur Hyderabad Telangana 500081 India,7800,Hyderabad,2021-12-02,2021-02-14,,,9.9,22 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
66,Anmol Continental,5920/A Saifabad Khairtabad Hyderabad Telangana 500081 India,4398,Hyderabad,2021-12-02,2021-02-14,,,1.9,18 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
67,Holiday Inn Express Hyderabad Banjara Hills,63563/2nd Floor/A Hyderabad Telangana 500082 India,3798,Hyderabad,2021-12-02,2021-02-14,,,3.7,19 ,no,yes,no,no,yes,yes,no,no,no,no,no,no,no
68,Hotel Minerva Grand,82616 Road No 11 Banjara Hills Hyderabad Andhra Pradesh 500034 India,6264,Hyderabad,2021-12-02,2021-02-14,,,3.6,19 ,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
69,Sheraton Hyderabad Hotel,115/1 Nanakramguda Financial District Gachibowli Hyderabad TG 500032 India,5800,Hyderabad,2021-12-02,2021-02-14,,,14 ,23 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
70,Sheraton Hyderabad Hotel,115/1 Nanakramguda Financial District Gachibowli Hyderabad TG 500032 India,5800,Hyderabad,2021-12-02,2021-02-14,,,14 ,23 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
71,Radisson Hyderabad Hitec City,Gachibowli Miyapur Road Hyderabad Andhra Pradesh 500032 India,10000,Hyderabad,2021-12-02,2021-02-14,,,13 ,24 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
72,OYO 49253 Raja Residency,151&560 Raja Deluxe Complex Street Number 7 Musheerabad umber 7 Hyderabad Telangana 500020 India,7912,Hyderabad,2021-12-02,2021-02-14,,,4.7,20 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
73,Minerva Grand Kondapur,Survey No 13 D/no 291/4 Kondapur Adjacent to Silicon Towers Hyderabad Andhra Pradesh 500040 India,4798,Hyderabad,2021-12-02,2021-02-14,,,13 ,25 ,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no
74,Capital O 72734 Hotel Sri Mayuri,80 Chappal Bazaar Ward 80 Kachiguda Greater Municipal Corporation Central Zo Hyderabad Telangana 500027 India,6903,Hyderabad,2021-12-02,2021-02-14,,,2.8,17 ,no,yes,no,no,no,no,no,no,no,no,no,yes,no
75,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad",Plot No5 Hyderabad Knowledge City Madhapur Hyderabad Telangana 500081 India,13600,Hyderabad,2021-12-02,2021-02-14,,,9.8,22 ,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no
76,Hotel Imperial Classic,18525 RTC X Road Chikkadpally Hyderabad Telangana 500020 India,3400,Hyderabad,2021-12-02,2021-02-14,,,3.6,19 ,no,yes,yes,no,no,no,no,no,no,no,no,no,no
77,Fairfield by Marriott Hyderabad Gachibowli,IT Park Gachibowli Hyderabad Telangana 500032 India,4400,Hyderabad,2021-12-02,2021-02-14,,,14 ,23 ,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
78,Oakwood Residence Kapil Hyderabad,Syno 115/1 Kapil Towers IT Park NanakramgudaFinancial District Hyderabad Andhra Pradesh 500032 India,5040,Hyderabad,2021-12-02,2021-02-14,,,14 ,23 ,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no
79,CITADEL Hotel By Vinnca,Airport Road Opp METRO Wholesale Gagan Pahad Hyderabad Telangana 500052 India,5760,Hyderabad,2021-12-02,2021-02-14,,,12 ,5.7,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no
80,OYO 71431 Hotel Polo,631099/1/13 Nishat Bagh Colony Ward 97 Somajiguda Greater Municipal Corporat Hyderabad Telangana 500082 India,10259,Hyderabad,2021-12-02,2021-02-14,,,4.0,20 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
81,OYO 71431 Hotel Polo,631099/1/13 Nishat Bagh Colony Ward 97 Somajiguda Greater Municipal Corporat Hyderabad Telangana 500082 India,10259,Hyderabad,2021-12-02,2021-02-14,,,4.0,20 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
82,OYO 28637 Gokul Grand,71212/8 Shivbagh Ameerpet Hyderabad Telangana 500016 India,3934,Hyderabad,2021-12-02,2021-02-14,,,6.1,22 ,no,yes,no,no,no,no,no,yes,no,no,no,no,no
83,OYO 37499 Saba Service Apartments,225657 Masqathi super market building Rathkhana St Alijah roadchattherghat Hyderabad Telangana 500002 India,4614,Hyderabad,2021-12-02,2021-02-14,,,3.4,14 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
84,Tabla Pride,Road Number1 Banjara Hills Besides Care Hospital Hyderabad Telangana 500034 India,5278,Hyderabad,2021-12-02,2021-02-14,,,3.1,19 ,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no
85,Hotel Comfotel,63248/3/1 Road Number 1 Banjara Hills Hyderabad Telangana 500034 India,5500,Hyderabad,2021-12-02,2021-02-14,,,3.2,19 ,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no
86,Le Meridien Hyderabad,Plot No 132 Miyapur Rd Gachibowli Hyderabad Telangana 500032 India,6000,Hyderabad,2021-12-02,2021-02-14,,,13 ,24 ,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
87,OYO 29928 Royal Emirates Banjara,H No 82231/15/16/17 Nagarjuna Hills Punjagutta Hyderabad Telangana 500082 India,3556,Hyderabad,2021-12-02,2021-02-14,,,4.6,20 ,no,yes,no,no,no,no,no,yes,no,no,no,no,no
88,Gardenia Service Apartments,540 Venkateshwara Nagar Aurora Colony Banjara Hills Hyderabad Telangana 500034 India,10259,Hyderabad,2021-12-02,2021-02-14,,,5.2,20 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
89,"Lemon Tree Premier, HITEC City, Hyderabad",Plot No 2 Survey No 64 Hitech City Madhapur Hyderabad Andhra Pradesh 500081 India,6102,Hyderabad,2021-12-02,2021-02-14,,,11 ,23 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
90,Hill View Guest Houses - Begumpet,HNo18308/4/2 Rdno1 Patigadda Begumpet Hyderabad Telangana 500003 India,3238,Hyderabad,2021-12-02,2021-02-14,,,6.0,22 ,no,yes,no,no,yes,no,no,no,no,no,no,no,no
91,Hotel Green Park,D No 7126 GreenLands Area Begumpet Hyderabad Andhra Pradesh 500016 India,6398,Hyderabad,2021-12-02,2021-02-14,,,5.4,21 ,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no
92,Hotel Green Park,D No 7126 GreenLands Area Begumpet Hyderabad Andhra Pradesh 500016 India,6398,Hyderabad,2021-12-02,2021-02-14,,,5.4,21 ,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no
93,FabHotel Yesmark Gachibowli,Jayabheri Pinevally Plot # 18 Beside Gachibowli Police Commissioner Office Hyderabad Telangana 500032 India,6316,Hyderabad,2021-12-02,2021-02-16,,,11 ,22 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
94,The Westin Hyderabad Mindspace,Raheja IT Park Hitec City Madhapur Hyderabad Telangana 500081 India,14040,Hyderabad,2021-12-02,2021-02-16,,,9.9,22 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
95,Le Meridien Hyderabad,Plot No 132 Miyapur Rd Gachibowli Hyderabad Telangana 500032 India,12150,Hyderabad,2021-12-02,2021-02-16,,,13 ,24 ,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
96,Le Meridien Hyderabad,Plot No 132 Miyapur Rd Gachibowli Hyderabad Telangana 500032 India,12150,Hyderabad,2021-12-02,2021-02-16,,,13 ,24 ,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
97,OYO 61506 Sai Residency,Sai Residency Plot no 210 Kalyan nagar phase1 vengalarao nagar main road besid Hyderabad Telangana 500038 India,6155,Hyderabad,2021-12-02,2021-02-16,,,7.1,22 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
98,OYO 23543 Hotel Vaishnavi,14Near Khindsi Lake Tumsar Road Hyderabad 500003 India,8266,Hyderabad,2021-12-02,2021-02-16,,,6.5,22 ,no,yes,no,no,no,no,no,yes,no,no,no,no,no
99,OYO 23543 Hotel Vaishnavi,14Near Khindsi Lake Tumsar Road Hyderabad 500003 India,8266,Hyderabad,2021-12-02,2021-02-16,,,6.5,22 ,no,yes,no,no,no,no,no,yes,no,no,no,no,no
100,Courtyard by Marriott Hyderabad,1 3 1024 Lower Tank Bund Road Hyderabad Andhra Pradesh 500001 India,12462,Hyderabad,2021-12-02,2021-02-16,,,4.7,21 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
101,Best Western Ashoka,6170 Lakdikapul Hyderabad Andhra Pradesh 500004 India,10422,Hyderabad,2021-12-02,2021-02-16,,,1.7,18 ,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
102,Taj Deccan,Rd Number 1 Balapur Basthi Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,16000,Hyderabad,2021-12-02,2021-02-16,,,3.8,19 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
103,Hyatt Place Hyderabad Banjara Hills,Banjara Hills Road 1 Hyderabad Telangana 500034 India,14660,Hyderabad,2021-12-02,2021-02-16,,,3.0,19 ,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
104,OYO 19460 Hotel Pearl City,155826 Raj Tower Afzalgunj Rd Ashok Bazar Gowliguda Hyderabad Telangana 500012 India,18436,Hyderabad,2021-12-02,2021-02-16,,,2.0,15 ,no,no,no,no,no,no,no,yes,no,no,no,no,no
105,Trident Hyderabad,HITEC City Near Cyber Towers Hyderabad Andhra Pradesh 500 081 India,18000,Hyderabad,2021-12-02,2021-02-16,Exceptional,9.6,11 ,24 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
106,OYO 65280 New Raghava Guest House,D/4 Sri Nagar Colony Krishna Nagar Hyderabad Telangana 500033 India,10180,Hyderabad,2021-12-02,2021-02-16,,,6.1,21 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
107,OYO 65280 New Raghava Guest House,D/4 Sri Nagar Colony Krishna Nagar Hyderabad Telangana 500033 India,10180,Hyderabad,2021-12-02,2021-02-16,,,6.1,21 ,no,yes,no,no,no,no,no,no,no,no,no,no,no
108,The Park Hyderabad,22 RajBhavan Road Somajiguda Hyderabad Andhra Pradesh 500082 India,9760,Hyderabad,2021-12-02,2021-02-16,,,4.0,20 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
109,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,82409 Road No 6 Banjara Hills Hyderabad Andhra Pradesh 500034 India,12712,Hyderabad,2021-12-02,2021-02-16,Good,7.6,4.5,20 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
110,"Vivanta Hyderabad, Begumpet",1 10 147 148 Mayuri Marg Hyderabad Andhra Pradesh 500016 India,14400,Hyderabad,2021-12-02,2021-02-16,,,6.1,22 ,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no
111,Marigold by Greenpark,7125 Greenlands Begumpet Hyderabad Andhra Pradesh 500016 India,14400,Hyderabad,2021-12-02,2021-02-16,,,5.5,21 ,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no
112,OYO 17279 Royal Inn Hotel,539 100Ft Rd Mega Hills Hyderabad Telangana 500081 India,7967,Hyderabad,2021-12-02,2021-02-16,,,10 ,24 ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
